scan_time_kst,direction,symbol,entry_score,live_pattern,open_positions
2026-06-01 00:00:00,long,AIAUSDT,52.36,SHORT_CONTINUATION,2
2026-06-01 00:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,2
2026-06-01 02:00:00,long,AIAUSDT,52.36,SHORT_CONTINUATION,2
2026-06-01 02:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,2
2026-06-01 02:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,2
2026-06-01 02:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,2
2026-06-01 04:00:00,long,AIAUSDT,52.36,SHORT_CONTINUATION,0
2026-06-01 04:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-01 04:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-01 04:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,0
2026-06-01 06:00:00,long,AIAUSDT,52.36,SHORT_CONTINUATION,0
2026-06-01 06:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-01 06:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-01 06:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,0
2026-06-01 08:00:00,long,AIAUSDT,52.36,SHORT_CONTINUATION,0
2026-06-01 08:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-01 08:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-01 08:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,0
2026-06-01 10:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,3
2026-06-01 10:00:00,long,HUSDT,75.41,LONG_BREAKOUT,3
2026-06-01 10:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,3
2026-06-01 10:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,3
2026-06-01 10:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,3
2026-06-01 10:00:00,short,LABUSDT,81.04,SHORT_CONTINUATION,3
2026-06-01 12:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-01 12:00:00,long,HUSDT,75.41,LONG_BREAKOUT,0
2026-06-01 12:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,0
2026-06-01 12:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-01 12:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,0
2026-06-01 12:00:00,short,LABUSDT,81.04,SHORT_CONTINUATION,0
2026-06-01 14:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-01 14:00:00,long,HUSDT,75.41,LONG_BREAKOUT,0
2026-06-01 14:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,0
2026-06-01 14:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-01 14:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,0
2026-06-01 14:00:00,short,LABUSDT,81.04,SHORT_CONTINUATION,0
2026-06-01 16:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-01 16:00:00,long,HUSDT,75.41,LONG_BREAKOUT,0
2026-06-01 16:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,0
2026-06-01 16:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-01 16:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,0
2026-06-01 16:00:00,short,LABUSDT,81.04,SHORT_CONTINUATION,0
2026-06-01 18:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-01 18:00:00,long,HUSDT,75.41,LONG_BREAKOUT,0
2026-06-01 18:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,0
2026-06-01 18:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-01 18:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,0
2026-06-01 18:00:00,short,LABUSDT,81.04,SHORT_CONTINUATION,0
2026-06-01 20:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-01 20:00:00,long,HUSDT,75.41,LONG_BREAKOUT,0
2026-06-01 20:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,0
2026-06-01 20:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-01 20:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,0
2026-06-01 20:00:00,short,LABUSDT,81.04,SHORT_CONTINUATION,0
2026-06-01 22:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-01 22:00:00,long,HUSDT,75.41,LONG_BREAKOUT,0
2026-06-01 22:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,0
2026-06-01 22:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-01 22:00:00,short,STGUSDT,58.95,SHORT_REVERSAL,0
2026-06-01 22:00:00,short,LABUSDT,81.04,SHORT_CONTINUATION,0
2026-06-02 00:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,1
2026-06-02 00:00:00,long,HUSDT,75.41,LONG_BREAKOUT,1
2026-06-02 00:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,1
2026-06-02 00:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,1
2026-06-02 00:00:00,short,LABUSDT,81.04,SHORT_CONTINUATION,1
2026-06-02 00:00:00,short,HUSDT,69.54,SHORT_BREAKDOWN,1
2026-06-02 02:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-02 02:00:00,long,HUSDT,75.41,LONG_BREAKOUT,0
2026-06-02 02:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,0
2026-06-02 02:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-02 02:00:00,short,LABUSDT,81.04,SHORT_CONTINUATION,0
2026-06-02 02:00:00,short,HUSDT,69.54,SHORT_BREAKDOWN,0
2026-06-02 04:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-02 04:00:00,long,HUSDT,75.41,LONG_BREAKOUT,0
2026-06-02 04:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,0
2026-06-02 04:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
2026-06-02 04:00:00,short,LABUSDT,81.04,SHORT_CONTINUATION,0
2026-06-02 04:00:00,short,HUSDT,69.54,SHORT_BREAKDOWN,0
2026-06-02 06:00:00,long,STGUSDT,65.61,SHORT_REVERSAL,0
2026-06-02 06:00:00,long,HUSDT,75.41,LONG_BREAKOUT,0
2026-06-02 06:00:00,long,LABUSDT,74.85,SHORT_CONTINUATION,0
2026-06-02 06:00:00,short,AIAUSDT,71.67,SHORT_CONTINUATION,0
